time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,22.0,24.0,22.0,600.0,0.0,0.0,0.1,0.5,32.0,3.0,8.0,600.0,0.0,0.0,0.0
1,23.009900157440597,24.075903289707185,22.367173303015306,888.0,0.5503222759941797,0.0,0.9999999761407545,0.3835670365850737,32.0,3.0,8.0,600.0,0.30000000000000004,0.0,0.30000000000000004
2,22.908039086640713,24.18639946069561,12.82766229704697,803.3458400066443,0.5356519344952129,0.0,1.000000009987505,0.4119011817846002,32.0,3.0,8.0,600.0,728.3404687886531,428.3404902619735,299.99997852667957
3,22.41073020289224,24.26515100331727,8.628777325218834,802.7521927057147,0.527527156706438,0.0,1.0000000099198318,0.4117999207947972,32.0,3.0,8.0,600.0,715.311347864556,415.31134786455596,300.0
4,21.80913900876527,24.285699885456097,6.68214751835626,802.5723659517595,0.5775987730824337,0.0,0.7481250362375143,0.22219062821657445,32.0,3.0,8.0,600.0,708.1387242280805,408.13872422808055,300.0
5,21.678399938832854,24.316895987835494,5.699662991066134,805.7479008806617,0.5985759451756744,0.0,0.6499193694828143,0.10756077779403149,32.0,3.0,8.0,600.0,578.4517472257771,452.8360766528103,125.61567057296686
6,21.725760243036348,24.36465602070382,5.280333314568793,807.4292285806829,0.5907901858016189,0.0,0.6594925186317782,0.11645261717644635,32.0,3.0,8.0,600.0,554.2748112568609,471.917967207929,82.35684404893185
7,21.745395890587133,24.41490091384634,5.1135278846768415,806.4262200228164,0.5910394379861518,0.0,0.6512923793622702,0.10652796397158683,32.0,3.0,8.0,600.0,550.8606857422292,464.81068579985606,86.0499999423731
8,21.75551813195915,24.445008179972774,5.045745818174453,806.6050570295611,0.5960801965350152,0.0,0.6327636164110194,0.08130394495372582,32.0,3.0,8.0,600.0,547.9176640614313,465.03775906836785,82.87990499306346
9,21.76009876230546,24.440595626178663,5.0182672392966765,806.9513752463748,0.5916370152147493,0.0,0.6461106929078114,0.09863703510187714,32.0,3.0,8.0,600.0,545.642110146211,469.6364818904287,76.00562825578243
10,21.761114651945547,24.455956771690808,5.007353016520426,806.4809238050549,0.5862187835650088,0.0,0.6631113087251655,0.1212294863712196,32.0,3.0,8.0,600.0,546.4997084447097,465.5822859910906,80.9174224536191
11,21.763359558049103,24.49768266695611,5.002981686152907,806.1993317636636,0.5843367511220505,0.0,0.6689878771667264,0.12909149823400107,32.0,3.0,8.0,600.0,548.1257296688316,460.6514130970132,87.47431657181838
12,21.76749912612945,24.54554796040651,5.001210406141297,806.185669340743,0.5862980523898368,0.0,0.662174382785263,0.12062692845060535,32.0,3.0,8.0,600.0,548.7626104018391,458.9420007499977,89.82060965184144
13,21.7718047692116,24.57746659812392,5.000488521809473,806.3519802615973,0.5916018197189534,0.0,0.644850307710436,0.09785109206740449,32.0,3.0,8.0,600.0,547.8275055756237,460.7234490677284,87.10405650789535
14,21.77431346291587,24.577126464348908,5.0001945185878185,806.6711119822263,0.5909132021517328,0.0,0.6475542861523552,0.10081702163813384,32.0,3.0,8.0,600.0,545.9950125234069,465.55021017798526,80.44480234542166
15,21.774451678063713,24.579355405171157,5.000076652427026,806.4752348888413,0.5851878884512294,0.0,0.666542986221165,0.1254174758632715,32.0,3.0,8.0,600.0,546.3837642572212,464.9227521495199,81.46101210770132
16,21.77520544436669,24.611797324099825,5.0000295024645425,806.0825418868678,0.5826133057049326,0.0,0.6749974993701332,0.13649001010941614,32.0,3.0,8.0,600.0,548.5542849887606,459.71485910052843,88.83942588823221
17,21.77839044895245,24.655753654418675,5.0000103803004095,806.036134796465,0.5837572135151897,0.0,0.6709019336727383,0.13161334543575823,32.0,3.0,8.0,600.0,549.6411716631167,457.3781345738526,92.26303708926403
