time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,28.0,30.0,28.0,420.0,0.0,0.0,0.1,0.5,32.0,0.0,0.0,800.0,0.0,0.0,0.0
1,28.455016995210997,30.045999999999992,28.146869321205997,420.0,0.7928736275445752,0.0,0.9999999935180217,0.8999953965046925,32.0,0.0,0.0,800.0,0.30000000000000004,0.0,0.30000000000000004
2,27.598393722953404,30.108360679808413,15.437375121077821,420.0,0.7531665200130768,0.0,1.0000000099947788,0.8999999808000648,32.0,0.0,0.0,800.0,766.5552425379935,466.555248371774,299.99999416621955
3,26.400738078281847,30.1339620015342,9.838593975107244,420.0,0.7119323394119832,0.0,1.0000000099951014,0.8999999901329797,32.0,0.0,0.0,800.0,738.2748063179563,438.27480631795623,300.0
4,25.22516153991154,30.11063304460413,7.242967779575224,420.0,0.6748609172227898,0.0,1.0000000099942297,0.8999999963879984,32.0,0.0,0.0,800.0,709.5631431770621,409.5631431770621,300.0
5,24.196327430670067,30.041214184416447,6.039744428853567,420.0,0.6436705604080594,0.0,1.0000000099932695,0.8999999996152869,32.0,3.0,0.0,800.0,684.3025405966771,384.3025405966771,300.0
6,23.662997559799464,29.933418714266566,5.481980477745424,720.0,0.57798210619835,0.0,1.0000000099920672,0.47390954978896005,32.0,3.0,5.0,800.0,663.4425194691406,363.4425194691406,300.0
7,23.21462905953439,29.808601868087862,5.223424470863279,809.5638199155841,0.5850110112930688,0.0,1.0000000099886248,0.4167196062596486,32.0,3.0,5.0,800.0,711.5360385568076,411.5360385568077,300.0
8,22.843812590123946,29.67084295574574,5.103568735457486,806.5972355591078,0.5808501797004979,0.0,1.000000009945312,0.4175010043593398,32.0,3.0,5.0,800.0,717.3218773265312,417.32187732653125,300.0
9,22.5380225267495,29.523761741120893,5.04800866184803,806.3405669849265,0.5779674544781295,0.0,1.0000000099315045,0.415952867022881,32.0,3.0,5.0,800.0,713.8942736777315,413.8942736777315,300.0
10,22.284577335113624,29.370332172546057,5.022253322429549,805.4857663178585,0.5880059062796213,0.0,0.9136549376421956,0.36399383555402626,32.0,3.0,5.0,800.0,711.5240006233546,411.5240006233546,300.0
11,22.216271582572574,29.212901979048752,5.009965431253704,806.8164457145672,0.5933443436937405,0.0,0.8791215008274058,0.339553100261882,32.0,3.0,5.0,800.0,648.599964882027,419.79372109110506,228.80624379092203
12,22.20454164400485,29.05903676318968,5.004410310565447,807.3622004313423,0.5944073397444635,0.0,0.8729867125518819,0.33471782983185816,32.0,3.0,5.0,800.0,628.0395629939802,424.2096307461582,203.82993224782203
13,22.19052183703218,28.9108569584223,5.001948303168774,807.3979536295304,0.5955433353347644,0.0,0.8658748353415062,0.32957270084912493,32.0,3.0,5.0,800.0,624.682908584802,425.09043742067456,199.59247116412743
14,22.176969026021823,28.768043553566713,5.000857398517098,807.548772602591,0.5966754847384111,0.0,0.8590546131387278,0.32449726196828904,32.0,3.0,5.0,800.0,620.78638567102,426.0322858493412,194.75409982167875
