time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,28.0,30.0,28.0,420.0,0.0,0.0,0.1,0.5,32.0,0.0,0.0,800.0,0.0,0.0,0.0
1,28.455016995210997,30.045999999999992,28.146869321205997,420.0,0.7928736279097062,0.0,0.9999999930272319,0.8999953965046954,32.0,0.0,0.0,800.0,0.30000000000000004,0.0,0.30000000000000004
2,27.598393723387233,30.108360679808413,15.437375119185276,420.0,0.7531665272802497,0.0,1.0000000099848236,0.8999999295105815,32.0,0.0,0.0,800.0,766.5552423592551,466.55524863474636,299.9999937245087
3,26.400738078544975,30.133962001551538,9.838593974351852,420.0,0.7119323394175895,0.0,1.0000000099945594,0.8999999901329794,32.0,0.0,0.0,800.0,738.2748114364223,438.2748114364223,300.0
4,25.225161540084912,30.1106330446313,7.242967779242349,420.0,0.6748609172225885,0.0,1.0000000099927544,0.8999999963879984,32.0,0.0,0.0,800.0,709.5631431809213,409.5631431809214,300.0
5,24.19632743079967,30.041214184449416,6.039744428778192,420.0,0.643670560010951,0.0,1.0000000099883877,0.900000001110338,32.0,0.0,0.0,800.0,684.3025405965412,384.30254059654123,300.0
6,23.338997560382836,29.9334187143034,5.481980482719223,420.0,0.48166469939770507,0.0,1.0000000099738897,0.9000000001604294,32.0,0.0,5.0,800.0,663.4425192058006,363.4425192058007,300.0
7,22.639684582135544,29.79564186814656,5.2234244931042895,420.0,0.4662586561668728,0.0,0.9061754936663081,0.9000000044341004,32.0,0.0,5.0,800.0,634.3797299479162,334.3797299479162,300.0
8,22.23166940713395,29.635403576706096,5.09975701587291,420.0,0.4574753524571632,0.0,0.6959602519971949,0.9000000074019303,32.0,0.0,5.0,800.0,545.6279646484713,322.39506836696887,223.23289628150252
9,22.24006635646657,29.465254209923216,5.040589867635958,420.0,0.4569354496747801,0.0,0.6977431337743816,0.900000009058742,32.0,0.0,5.0,800.0,416.733740846508,315.60500816854926,101.12873267795871
10,22.225915764769752,29.30224669578496,5.016708561392136,420.0,0.4563320000469471,0.0,0.6908837571304264,0.9000000090246199,32.0,0.0,5.0,800.0,417.0965597647602,315.1886323483742,101.90792741638599
11,22.209626329128128,29.145193458544327,5.006851016718656,420.0,0.45578691765698365,0.0,0.8748393153233507,0.9000000087229507,32.0,3.0,5.0,800.0,413.6552524340868,314.7233861166397,98.93186631744709
12,22.19981099487427,28.993770773367658,5.003053705794798,720.0,0.5774368237583274,0.0,0.8705438702724579,0.403639612257416,32.0,3.0,5.0,800.0,515.1691252501299,314.3032642034706,200.86586104665938
13,22.18453714953006,28.84801238222792,5.00134721855045,812.336847990955,0.5965317673243806,0.0,0.8628854530868365,0.3253413758570625,32.0,3.0,5.0,800.0,609.0097163404221,411.08809481647296,197.92162152394906
14,22.171157163235193,28.707473372919992,5.000591691959869,807.80335834452,0.5971979617823316,0.0,0.8561367204669902,0.3221785935788438,32.0,3.0,5.0,800.0,619.5961803131277,426.8522559134743,192.7439243996533
15,22.15827787263214,28.572020724532592,5.00025831569485,807.7429421510011,0.5982699752454366,0.0,0.8496776550349845,0.31740299827128277,32.0,3.0,5.0,800.0,615.6619344795658,427.40515327081744,188.25678120874844
16,22.14580073372133,28.441471010456553,5.00011160641219,807.8949040851569,0.5993612928234444,0.0,0.8434202906883708,0.31257817878861405,32.0,3.0,5.0,800.0,612.3232422830533,428.29526761830124,184.02797466475207
17,22.133769003023588,28.315644199387123,5.000047210629191,808.0337765217304,0.6004324574599663,0.0,0.8373820246905401,0.3078626896687711,32.0,3.0,5.0,800.0,609.1940129318259,429.20193554789125,179.9920773839347
18,22.122168399116504,28.194369191532587,5.000019016407066,808.1698923650655,0.6014842261370787,0.0,0.8315543361132867,0.3032510714571592,32.0,3.0,5.0,800.0,606.2462329718182,430.0923759264482,176.15385704537005
19,22.110985125220736,28.07748115983594,5.0000067022998,808.3036857103621,0.6025163275633619,0.0,0.8259300954747992,0.2987426065024752,32.0,3.0,5.0,800.0,603.4687999386854,430.9671901558395,172.50160978284592
20,22.100204905183034,27.964821318451357,5.0000013366334315,808.4350844372824,0.6035284695837825,0.0,0.8205024743786569,0.29433693241437153,32.0,3.0,5.0,800.0,600.8511972104707,431.8261255396952,169.0250716707754
21,22.089813552015812,27.856236661920605,5.0,808.5640833135651,0.6045191269666591,0.0,0.8152653107163609,0.2900388410215132,32.0,3.0,5.0,800.0,598.3835757357892,432.6689119721318,165.71466376365737
22,22.07979632498086,27.751579737524423,5.0,808.6927543882302,0.6054985999167747,0.0,0.8101985959955879,0.2858055606257559,32.0,3.0,5.0,800.0,596.0559192709923,433.4942517249715,162.56166754602071
23,22.07016140867006,27.650708401022655,5.0,808.8088666929763,0.6069446694281935,0.0,0.8052386001995812,0.2797163715083362,32.0,3.0,5.0,800.0,593.8603024308921,434.31070472707836,159.54959770381382
24,22.061007651790135,27.553486521328523,5.0,808.1299160790924,0.6038126644626459,0.0,0.800642310743792,0.29203495294592674,32.0,3.0,5.0,800.0,592.1541159957549,435.5168802409546,156.6372357548003
25,22.05197828311867,27.459787366547005,5.0,814.7933465631825,0.4522000541156669,0.0,0.5995766373272962,0.900000009647059,32.0,0.0,5.0,800.0,586.8759046122773,432.90563649892897,153.97026811334825
26,22.042604258559493,27.369475003209857,5.0,783.2321642736434,0.45198865782520553,0.0,0.5946324185709048,0.9000000097905284,32.0,0.0,5.0,800.0,376.2045618471477,311.54163458845386,64.66292725869384
27,22.034441389773406,27.282400173423866,5.0,754.4335482276726,0.45180457468848934,0.0,0.5903846955648725,0.9000000098283705,32.0,0.0,5.0,800.0,374.4554488938236,311.37903376794003,63.07641512588356
