time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,28.0,30.0,28.0,420.0,0.0,0.0,0.1,0.5,32.0,0.0,0.0,800.0,0.0,0.0,0.0
1,28.455016995210997,30.045999999999992,28.146869321205997,420.0,0.7928738649756527,0.0,0.9999999924867679,0.8999933207581627,32.0,0.0,0.0,800.0,0.30000000000000004,0.0,0.30000000000000004
2,27.598393723841184,30.108360679808413,15.437375116855264,420.0,0.753166521427061,0.0,1.0000000099944886,0.8999999709557888,32.0,0.0,0.0,800.0,766.5554126110583,466.5554193729671,299.9999932380911
3,26.40073807879463,30.133962001569728,9.838593973295701,420.0,0.7119323404721382,0.0,1.000000009994553,0.8999999843099806,32.0,0.0,0.0,800.0,738.2748073138634,438.2748073138635,300.0
4,25.225161540232875,30.110633044658698,7.24296777875395,420.0,0.6748609179702703,0.0,1.0000000099927409,0.8999999929734255,32.0,0.0,0.0,800.0,709.5631439068505,409.56314390685054,300.0
5,24.196327430895053,30.041214184481646,6.039744428551614,420.0,0.6436705604777185,0.0,1.000000009988345,0.8999999992610217,32.0,0.0,0.0,800.0,684.3025411008518,384.3025411008519,300.0
6,23.338997560006646,29.93341871433819,5.4819804780221375,420.0,0.48166469954761765,0.0,1.0000000099736364,0.9000000002678525,32.0,0.0,5.0,800.0,663.4425195153347,363.44251951533465,300.0
7,22.639684581315805,29.79564186816492,5.223424487593206,420.0,0.4662607643620992,0.0,0.9058773319051129,0.9000000046265181,32.0,0.0,5.0,800.0,634.3797300650026,334.3797300650026,300.0
8,22.232172887145396,29.635403576690976,5.099744610156677,420.0,0.4566763584757782,0.0,0.8895890134043005,0.9000000006573701,32.0,3.0,5.0,800.0,545.4093175600766,322.39670184043155,223.01261571964505
9,22.24363388914543,29.465274349109166,5.044364624315278,720.0,0.5754749292761371,0.0,0.8930831516076233,0.41414834136343776,32.0,3.0,5.0,800.0,526.1867080986971,314.9888610568358,211.1978470418613
10,22.228383176762577,29.302408730710624,5.019771627000694,810.7143017321222,0.5934606740611249,0.0,0.884362093753425,0.3396643475921699,32.0,3.0,5.0,800.0,623.1737654986897,409.47749459186997,213.6962709068197
11,22.214320164849653,29.145447708552695,5.008777295447658,806.490695337748,0.5942151579135165,0.0,0.8768693703673391,0.33591493804551004,32.0,3.0,5.0,800.0,631.8028984100035,424.30599858058554,207.49689982941797
12,22.20022685408412,28.99420260680455,5.003884610184173,806.4111515653883,0.5953426362601254,0.0,0.8696822492068697,0.33075327146130457,32.0,3.0,5.0,800.0,627.1985864291671,424.93115699600594,202.26742943316123
13,22.186366361992782,28.84844357669573,5.001713600795085,806.5396109976307,0.5964940803948563,0.0,0.8627348503403224,0.32556282627534716,32.0,3.0,5.0,800.0,623.2003696143585,425.86584558573276,197.3345240286257
14,22.172902656737733,28.70796048810763,5.0007530025565075,806.6567928681211,0.597630322793072,0.0,0.8560327219430878,0.32048342597302926,32.0,3.0,5.0,800.0,619.4640051226255,426.820984145035,192.6430209775905
15,22.159878939309294,28.572558174852816,5.0003291495585245,806.7717530272278,0.5987500527018884,0.0,0.8495645264599125,0.3155091671434007,32.0,3.0,5.0,800.0,615.9522743631361,427.76408984711725,188.18818451601882
16,22.14730544325016,28.442051005431097,5.000142630721314,806.8848551098604,0.5998519873611871,0.0,0.8433214579562995,0.3106390552667645,32.0,3.0,5.0,800.0,612.6485296332936,428.6940512550489,183.95447837824466
17,22.135177450046285,28.316261182943833,5.000060765355272,806.9960236772508,0.6009352830257195,0.0,0.8372956105458439,0.30587275524625057,32.0,3.0,5.0,800.0,609.5385878005101,429.60977789244737,179.9288099080627
18,22.123483934698072,28.195017833627958,5.000024924100785,807.1052222882806,0.601999379533259,0.0,0.8314795668878113,0.301209989135631,32.0,3.0,5.0,800.0,606.6098700338091,430.5105422724487,176.09932776136037
19,22.112211413358693,28.078156477670746,5.00000927077059,807.2124242952187,0.6030438827854985,0.0,0.8258662364279196,0.2966504176337639,32.0,3.0,5.0,800.0,603.8509341957414,431.3958516866684,172.45508250907304
20,22.101345634131633,27.96551867509828,5.000002450425143,807.3176033371129,0.6040684725743427,0.0,0.8204488263632196,0.2921937273996702,32.0,3.0,5.0,800.0,601.2512198727815,432.2653510794856,168.98586879329585
21,22.090872286583306,27.85695175345961,5.0,807.4207716537541,0.6050715912392072,0.0,0.8152211269709955,0.28784478925161944,32.0,3.0,5.0,800.0,598.8009071380516,433.1187466824744,165.6821604555771
22,22.08077671069327,27.752308574784536,5.0,807.5240481847427,0.6060634400645512,0.0,0.8101642246642663,0.28356123966073604,32.0,3.0,5.0,800.0,596.4899517163083,433.95471309093585,162.53523862537247
23,22.07106530060105,27.651447300220866,5.0,807.6150264283583,0.6075290131497041,0.0,0.8051764151530743,0.2773930958550103,32.0,3.0,5.0,800.0,594.3110226787264,434.7817299944544,159.52929268427206
24,22.061898072935264,27.5542320202361,5.0,806.9156736675629,0.6048964112133085,0.0,0.7993214507599778,0.2877090717153819,32.0,3.0,5.0,800.0,592.6054999016776,436.0045505653057,156.60094933637185
25,22.054930936175253,27.46053866234405,5.0,813.1953887616041,0.452266640171929,0.0,0.6010407749784087,0.9000000096693661,32.0,0.0,5.0,800.0,587.0181784001165,433.80869134716517,153.20948705295132
26,22.042668161638403,27.370314353297317,5.0,781.6851939377093,0.45199009884223434,0.0,0.5946349111187353,0.900000009791285,32.0,0.0,5.0,800.0,376.7306509774819,311.59285461148323,65.13779636599864
27,22.034569862397063,27.283208505630967,5.0,753.009108184361,0.45180747184521136,0.0,0.5904440670504744,0.9000000098379921,32.0,0.0,5.0,800.0,374.4573504328606,311.3801421027934,63.07720833006721
