time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,28.0,30.0,28.0,420.0,0.0,0.0,0.1,0.5,32.0,0.0,0.0,800.0,0.0,0.0,0.0
1,28.455016995210997,30.045999999999992,28.146869321205997,420.0,0.7928736279097348,0.0,0.9999999930271933,0.8999953965046954,32.0,0.0,0.0,800.0,0.30000000000000004,0.0,0.30000000000000004
2,27.598393723387233,30.108360679808413,15.437375119185162,420.0,0.7531665200231383,0.0,1.0000000099944943,0.8999999808000648,32.0,0.0,0.0,800.0,766.555242359241,466.555248634767,299.99999372447405
3,26.40073807853986,30.133962001551538,9.838593974299101,420.0,0.7119323394173795,0.0,1.0000000099945592,0.8999999901329797,32.0,0.0,0.0,800.0,738.2748063250428,438.27480632504285,300.0
4,25.22516154007866,30.110633044631072,7.242967779218986,420.0,0.6748609172223794,0.0,1.0000000099927544,0.8999999963879984,32.0,0.0,0.0,800.0,709.5631431807768,409.5631431807768,300.0
5,24.196327430793815,30.04121418444896,6.039744428767506,420.0,0.6436705600107603,0.0,1.0000000099883872,0.900000001110338,32.0,0.0,0.0,800.0,684.3025405964003,384.30254059640026,300.0
6,23.338997560377834,29.933418714302775,5.481980482714391,420.0,0.48166469938582057,0.0,1.0000000099738848,0.9000000001604294,32.0,0.0,5.0,800.0,663.4425192056742,363.4425192056743,300.0
7,22.639684582155382,29.795641868145765,5.223424493350819,420.0,0.4662499510883459,0.0,0.9074091197013976,0.9000000044340315,32.0,0.0,5.0,800.0,634.379729938634,334.37972993863406,300.0
8,22.229586286835286,29.635403576706153,5.099808257842085,420.0,0.4566182370361518,0.0,0.8896050319201348,0.9000000063741894,32.0,3.0,5.0,800.0,546.5341587839995,322.38832351012394,224.14583527387555
9,22.241578651705765,29.46517088511132,5.044390828127632,720.0,0.574748031311697,0.0,0.8934259587239124,0.4170323044050792,32.0,3.0,5.0,800.0,526.1533065499057,314.9440504070182,211.2092561428875
10,22.22619187739042,29.302227195775117,5.01978613681888,811.6646110632153,0.5930588366254695,0.0,0.8845642713818658,0.34122870880467016,32.0,3.0,5.0,800.0,622.8236261875064,408.88118091773913,213.94244526976726
11,22.21224584401142,29.14518578303972,5.0087843732967485,807.3539779938108,0.5937835602254986,0.0,0.8770433920637579,0.33760347635640825,32.0,3.0,5.0,800.0,631.6123852003889,423.9731426944165,207.63924250597242
12,22.198281829457528,28.99386818547856,5.003888003346447,807.309331509047,0.5948996803210249,0.0,0.8698413473402862,0.33249116561316633,32.0,3.0,5.0,800.0,626.9613862947938,424.5735082234736,202.3878780713202
13,22.18453951280611,28.848044731237735,5.001715201254797,807.4664361559254,0.5960394864498058,0.0,0.8628777797847988,0.3273505718894337,32.0,3.0,5.0,800.0,622.9414082512214,425.49856432211135,197.44284392911015
14,22.17118834346047,28.70750452250047,5.000753750294962,807.611717431081,0.5971638174708345,0.0,0.8561605700429108,0.32232172567342793,32.0,3.0,5.0,800.0,619.1826044340612,426.443821977144,192.73878245691716
