time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,28.0,30.0,28.0,420.0,1.0,0.0,1.0,0.5,32.0,0.0,0.0,800.0,0.0,0.0,0.0
1,26.96679910282336,30.045999999999992,12.589542939711407,420.0,1.0,0.0,1.0,0.5,32.0,0.0,0.0,800.0,925.0,625.0,300.0
2,25.46065297746793,30.048831964112935,5.227111695161227,420.0,1.0,0.0,1.0,0.5,32.0,0.0,0.0,800.0,925.0,625.0,300.0
3,24.272472812663295,29.991304804647143,5.0,420.0,1.0,0.0,1.0,0.5,32.0,0.0,0.0,800.0,925.0,625.0,300.0
4,23.346680904110087,29.888551524967795,5.0,420.0,1.0,0.0,0.8826766328770612,0.5,32.0,0.0,0.0,800.0,925.0,625.0,300.0
5,22.827444897953512,29.75287670013347,5.0,420.0,1.0,0.0,0.728547609389476,0.5,32.0,0.0,0.0,800.0,831.3127859788463,625.0,206.31278597884628
6,22.67148469425166,29.601859428046282,5.0,420.0,1.0,0.0,0.724864446388882,0.5,32.0,0.0,5.0,800.0,741.009903921253,625.0,116.009903921253
7,22.538387773822365,29.450644438694496,5.0,420.0,1.0,0.0,0.7059935409387073,0.5,32.0,0.0,5.0,800.0,916.4272550500199,802.1679308913817,114.2593241586382
8,22.44918336790778,29.30015417209961,5.0,420.0,1.0,0.0,0.6912280115629699,0.5,32.0,3.0,5.0,800.0,907.7337782320832,802.1679308913817,105.56584734070142
9,22.711973084105807,29.152115339931925,5.0,720.0,1.0,0.0,0.9050174864831456,0.5,32.0,3.0,5.0,800.0,901.2477585972554,802.1679308913817,99.07982770587361
10,22.543791444437716,29.02050964969885,5.0,838.9965027033709,1.0,0.0,0.869684955536643,0.5,32.0,3.0,5.0,800.0,1024.5461083206112,802.1679308913817,222.37817742922954
11,22.459160777864042,28.887440921488405,5.0,896.0665328209776,1.0,0.0,0.8592017778226149,0.5,32.0,3.0,5.0,800.0,999.5042971582275,802.1679308913817,197.33636626684574
12,22.39743248378761,28.75630971574344,5.0,923.3750585798896,1.0,0.0,0.8478241275419215,0.5,32.0,3.0,5.0,800.0,992.4538952894396,802.1679308913817,190.28596439805793
13,22.35529299420665,28.627954626465225,5.0,938.8593786686506,1.0,0.0,0.8378129815927708,0.5,32.0,3.0,5.0,800.0,984.994188567097,802.1679308913817,182.82625767571528
14,22.32647738909543,28.50304816117489,5.0,949.0546299554808,1.0,0.0,0.828700656856247,0.5,32.0,3.0,5.0,800.0,978.593899569302,802.1679308913817,176.42596867792025
15,22.306949900480674,28.381985330291684,5.0,956.7693503841838,1.0,0.0,0.820326892645004,0.5,32.0,3.0,5.0,800.0,972.8996856452982,802.1679308913817,170.73175475391642
16,22.293863006368497,28.26498391309923,5.0,963.2184615390272,1.0,0.0,0.8125560468626146,0.5,32.0,3.0,5.0,800.0,967.7762321167072,802.1679308913817,165.60830122532545
17,22.285233698277864,28.152139076829997,5.0,968.9548310783983,1.0,0.0,0.8052881324728709,0.5,32.0,3.0,5.0,800.0,963.1143188439573,802.1679308913817,160.9463879525756
18,22.279681515497487,28.043462861687885,5.0,974.2436239243425,1.0,0.0,0.7984483441821796,0.5,32.0,3.0,5.0,800.0,958.8340738879401,802.1679308913817,156.66614299655842
19,22.276246929806973,27.938911607840282,5.0,979.2203547270612,1.0,0.0,0.7919804372983176,0.5,32.0,3.0,5.0,800.0,954.87590951733,802.1679308913817,152.70797862594827
20,22.2742638529665,27.838405020718938,5.0,983.9593006718225,1.0,0.0,0.78584166947138,0.5,32.0,3.0,5.0,800.0,951.1948136835102,802.1679308913817,149.0268827921285
21,22.27327048734719,27.741839374008862,5.0,988.5041551025846,1.0,0.0,0.7799990841311639,0.5,32.0,3.0,5.0,800.0,947.7562110531544,802.1679308913817,145.58828016177262
22,22.27294709413968,27.649096618542387,5.0,992.8823415660665,1.0,0.0,0.7744268063553457,0.5,32.0,3.0,5.0,800.0,944.5330293988306,802.1679308913817,142.36509850744898
23,22.273072617985463,27.56005063756629,5.0,997.1120467684791,1.0,0.0,0.769104091875329,0.5,32.0,3.0,5.0,800.0,941.5036255096369,802.1679308913817,139.33569461825516
24,22.273494492217196,27.474571516783044,5.0,1001.2058890083567,1.0,0.0,0.764013927434635,0.5,32.0,3.0,5.0,800.0,938.6503213786434,802.1679308913817,136.48239048726168
25,22.274107641674107,27.392528435800386,5.0,1005.1729597354147,1.0,0.0,0.7591420304979115,0.5,32.0,0.0,5.0,800.0,935.9583706738567,802.1679308913817,133.790439782475
26,21.9508398947695,27.313791604035316,5.0,709.0200338380712,0.932466629465405,0.0,0.5965002833222073,0.5,32.0,0.0,5.0,800.0,933.4152273363276,802.1679308913817,131.24729644494582
27,21.951378818768887,27.225273535664655,5.0,594.086345791269,0.9238764940436205,0.0,0.5459550575687367,0.5,32.0,0.0,5.0,800.0,796.8140672230223,733.1413743569184,63.67269286610394
28,22.02598462300051,27.140317746988842,5.0,530.7241318323335,0.9509354674531995,0.0,0.4798337030535381,0.5,32.0,0.0,5.0,800.0,773.3766856228887,724.55734208243,48.81934354045873
29,22.187496122564937,27.061744422029335,5.0,495.3046850360023,1.0,0.0,0.5380886773487387,0.5,32.0,0.0,5.0,800.0,784.8878637416664,751.744735131045,33.14312861062134
