time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,P_hp_W,P_blower_W
0,25.0,27.0,25.0,600.0,0.0,0.0,0.1,0.5,33.0,2.0,5.0,600.0,0.0,0.0,0.0
1,25.835191659835118,27.075903289707185,25.293738642412222,788.0,0.6083768200843909,0.0,0.9999999966077066,0.6225964224050057,33.0,2.0,5.0,600.0,0.30000000000000004,0.0,0.30000000000000004
2,25.436725351551615,27.17941112079137,14.148573471283669,802.8206452215721,0.5949010278163587,0.0,1.0000000099941841,0.607139705917467,33.0,2.0,5.0,600.0,736.712365922324,436.71236897538813,299.9999969469359
3,24.640657082392693,27.239589647605612,9.241128840895612,802.293936871423,0.5777438421831764,0.0,1.0000000099946111,0.6098139075661343,33.0,2.0,5.0,600.0,725.4996814791087,425.49968147910874,300.0
4,23.77419494409088,27.230358059152934,6.966007994757717,803.4062336860637,0.44302354979216857,0.0,1.0000000099921726,0.6057225680024234,33.0,2.0,15.0,600.0,711.3402911947687,411.3402911947687,300.0
5,23.037011820671182,27.22237007199749,5.9113574725299145,801.8483333799252,0.3905102688403184,0.0,1.0000000099846504,0.6063697301028808,33.0,2.0,25.0,600.0,687.2162950450778,387.2162950450778,300.0
6,22.441813280656447,27.208255616772817,5.422465662793968,801.4389166757851,0.3840228225932203,0.0,1.0000000097848554,0.6051005875515445,33.0,2.0,25.0,600.0,673.7078440109311,373.7078440109311,300.0
7,21.960172182904444,27.173398647577358,5.195835904298747,800.5989112354612,0.4048023523670649,0.0,0.7480881241752201,0.47814408003865855,33.0,2.0,25.0,600.0,666.8958486415554,366.8958486415554,300.0
8,21.963523998028506,27.10175705604729,5.081452002703088,802.4874263571324,0.4080350627225618,0.0,0.7237161878686876,0.4581425403045794,33.0,2.0,25.0,600.0,514.3913775804971,388.79429950662876,125.59707807386827
9,21.961013524375005,26.99939478185297,5.033859407641614,802.4969830124041,0.40638099764154917,0.0,0.7326390621966006,0.4645599373838742,33.0,2.0,25.0,600.0,505.93911175849706,392.2219228363831,113.71718892211396
10,21.95317864738331,26.920440551620914,5.01414950842485,802.4335653127557,0.40450767008352323,0.0,0.7445996577544199,0.47301149209393206,33.0,2.0,25.0,600.0,508.4428244664593,390.46742255772955,117.97540190872972
11,21.946900398018386,26.871269655506524,5.0059426212394555,802.3466375992443,0.4042298105944022,0.0,0.7457718521586753,0.47386628777997664,33.0,2.0,25.0,600.0,512.3303451652209,388.4821301801789,123.84821498504198
12,21.942937838975638,26.83153310301367,5.002494742821398,802.3152581878679,0.4057362368626455,0.0,0.7345865530614143,0.46590713114096644,33.0,2.0,25.0,600.0,512.6218694508085,388.1878248386924,124.4340446121161
13,21.93953194388564,26.779029883540602,5.001040772254839,802.319805523516,0.40868822193327436,0.0,0.7133677012117284,0.4506831152454254,33.0,2.0,25.0,600.0,508.7026186746256,389.7839120552531,118.91870661937253
14,21.934356404116784,26.69733630533591,5.000429081055188,802.5628438262404,0.4088097255132133,0.0,0.7123445442890182,0.4498290038475324,33.0,2.0,25.0,600.0,501.8236002971116,392.91514931409955,108.9084509830121
15,21.926541632834983,26.6211585701667,5.000176059110913,802.6552380417721,0.4066224888047543,0.0,0.7272553682885318,0.4606242553645961,33.0,2.0,25.0,600.0,501.4846445162103,393.04413184003363,108.44051267617671
16,21.919763693530967,26.57801196068641,5.000071815116996,802.519453704176,0.4059117257040818,0.0,0.7317004007842512,0.46395092823583484,33.0,2.0,25.0,600.0,506.1171751355098,390.7234849701198,115.39369016539003
17,21.916081557301652,26.549102035508383,5.000028374885687,802.4733464737237,0.40700267035605425,0.0,0.7239304325685146,0.45825225285201815,33.0,2.0,25.0,600.0,507.4924557591979,389.96992543874313,117.52253032045482
18,21.913578166286413,26.512003391239546,5.000010180844072,802.4715667759822,0.40974480115006845,0.0,0.7051108253328581,0.4442188215523872,33.0,2.0,25.0,600.0,504.94488132160905,391.1266699883784,113.81821133323064
19,21.909957286137853,26.4483240251771,5.0000025653266675,802.6238876285719,0.41132308819614244,0.0,0.6943171580381923,0.4360588148111199,33.0,2.0,25.0,600.0,499.207401729186,394.03703177072987,105.17036995845618
20,21.903577339904132,26.372494130333166,5.0,802.8666484492485,0.4087202585227203,0.0,0.7117242083799422,0.4490177396376937,33.0,2.0,25.0,600.0,496.1281500263832,395.71399273279036,100.41415729359287
21,21.896772206205753,26.332490500914616,5.0,802.6797607866469,0.4075243958716788,0.0,0.7191871442987224,0.454808001949703,33.0,2.0,25.0,600.0,501.10661440326476,392.94915708599245,108.15745731727233
22,21.893397754145553,26.311404217997904,5.0,802.6172941796591,0.4081424742227165,0.0,0.7148278708888376,0.45153585411131125,33.0,2.0,25.0,600.0,503.2756724564916,391.6800904177187,111.59558203877286
23,21.8916449138203,26.287012468379146,5.0,802.6066760269416,0.4106019465387321,0.0,0.6986299965990759,0.4389958191260736,33.0,2.0,25.0,600.0,501.91449204563634,392.33590751563963,109.57858452999672
24,21.889388278780473,26.239311173288115,5.0,802.6644113836112,0.4137175321601902,0.0,0.678103073912311,0.42311478300128297,33.0,2.0,25.0,600.0,497.24460832403275,394.94759814238125,102.29701018165149
25,21.884280910260486,26.162158082421342,5.0,803.0729612555369,0.4108333815912014,0.0,0.6974822727214096,0.43753246229600307,33.0,2.0,25.0,600.0,491.80309042659746,398.2607150578869,93.5423753687106
26,21.87733363346166,26.123025286978702,5.0,802.6945761835432,0.42252173549451744,0.0,0.7076887947424121,0.4462595134291796,33.0,2.0,21.0,600.0,496.98719647403937,395.1935254529133,101.79367102112604
27,21.87404845010184,26.10722473603846,5.0,802.7361817383068,0.4415801980086892,0.0,0.706683868986675,0.4457389784611452,33.0,2.0,17.0,600.0,500.987744340988,394.65960543104603,106.32813890994197
28,21.87281654738905,26.09317508961277,5.0,802.852301085086,0.47138637465139366,0.0,0.6933664126228871,0.43553089869312916,33.0,2.0,13.0,600.0,502.5425951581825,396.66677467038255,105.87582048779997
29,21.87160623928088,26.059657146599307,5.0,803.0626573845517,0.5171987976533432,0.0,0.6714693007819477,0.4189209527957666,33.0,2.0,9.0,600.0,501.69151007687265,401.6892868591127,100.0022232177599
