time_min,T_cabin_C,T_mass_C,T_vent_C,CO2_ppm,u_hvac,u_ptc,u_blower,u_recirc,T_ambient_C,n_passengers,v_vehicle_m_s,solar_W_m2,P_hvac_W,soc
0,22.0,24.0,22.0,500.0,0.0,0.0,0.15,0.5,32.0,2.0,8.0,600.0,0.0,0.2
1,22.90617590327639,24.075903289707185,22.54023174842871,692.0,0.434964433572668,0.0,0.5743231322934741,0.5,32.0,2.0,8.0,600.0,0.0,0.19833333333333333
2,23.393360528296284,24.182250490529043,17.515212769414347,787.8560720107834,0.8319247161719671,0.0,1.0,0.5,32.0,2.0,8.0,600.0,328.5341053185678,0.19666666666666668
3,22.32811862841021,24.28058084962356,5.0,742.6186906702611,0.5714134993199821,0.0,0.5095903262016817,0.5,32.0,2.0,8.0,600.0,699.6017360709218,0.195
4,22.296217538127166,24.297208074930893,5.0,833.016448125316,0.6151623290979591,0.0,0.4928832886855935,0.5,32.0,2.0,8.0,600.0,447.2502655564033,0.19333333333333336
5,22.336024061014996,24.347426990905774,5.0,897.3038446364835,0.6875886169470073,0.0,0.5199913623325074,0.5,32.0,2.0,8.0,600.0,487.15820362083025,0.19166666666666668
6,22.351982873978045,24.42027074853854,5.0,931.8412603571045,0.7557331781519702,0.0,0.538367343609641,0.5,32.0,2.0,8.0,600.0,555.3311959007985,0.19
7,22.34388408404601,24.49333995780529,5.0,948.1355138982611,0.8152026763006417,0.0,0.5430947654528258,0.5,32.0,2.0,8.0,600.0,621.9942012174535,0.18833333333333335
8,22.31690113658948,24.54424918991174,5.0,956.9170918663386,0.8641499966497884,0.0,0.5329835190424559,0.5,32.0,2.0,8.0,600.0,682.2810041841641,0.18666666666666668
9,22.281909472236407,24.558322315905286,5.0,966.1384511616968,0.9043962023464202,0.0,0.5118695813132013,0.5,32.0,2.0,8.0,600.0,733.4517150385458,0.185
10,22.309755265842114,24.58984682222558,5.0,979.7706776049115,0.9685058882797126,0.0,0.5277435312844774,0.5,32.0,2.0,8.0,600.0,776.6205087867269,0.18333333333333335
11,22.33685815459353,24.648162740025384,5.0,982.8271081990977,1.0,0.0,0.5486666065788905,0.5,32.0,2.0,8.0,600.0,847.518360264876,0.18166666666666667
12,22.33762508683293,24.71294877441477,5.0,976.9574818349583,1.0,0.0,0.5565750900651768,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.18
13,22.31663988333247,24.760976417999984,5.0,970.2983747584476,1.0,0.0,0.5494104649814415,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.17833333333333334
14,22.284024929383236,24.775089295994803,5.0,968.7385841220674,1.0,0.0,0.5299079738834713,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.17666666666666667
15,22.293747860642725,24.78978818220986,5.0,974.8846165861944,1.0,0.0,0.5335190116417609,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.17500000000000002
16,22.32826774203164,24.834584637360138,5.0,977.5236217753385,1.0,0.0,0.5564325007425477,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.17333333333333334
17,22.335697793087263,24.8917519670552,5.0,970.7074463836758,1.0,0.0,0.567287084887811,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.1716666666666667
18,22.319643111682467,24.93773197495591,5.0,962.4346317936719,1.0,0.0,0.5631883665219063,0.5,32.0,2.0,8.0,600.0,883.34611280623,0.17
